BS_id,LS_id,LY_id,SP_id,BS_original_sample_id,BS_sample_date,BS_sample_type,BS_sample_number,BS_leaf_protocol,BS_note,BS_row_count
BS_220621_C_3,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-210622-c-25-3 | R-210622-c-26-3 | R-210622-c-36-3 | R-210622-c-37-3 | R-210622-c-38-3 | R-210622-c-35-3 | R-210622-c-30-3 | R-210622-c-34-3 | R-210622-c-48-3 | R-210622-c-44-3 | R-210622-c-39-3 | R-210622-c-43-3,2022-06-21 00:00:00,deep,25.0 | 26.0 | 36.0 | 37.0 | 38.0 | 35.0 | 30.0 | 34.0 | 48.0 | 44.0 | 39.0 | 43.0,CRUSHED,Alex_Bead_beater_x2_Lid_stuck,24
BS_220621_C_4,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-210622-c-25-4 | R-210622-c-26-4 | R-210622-c-36-4 | R-210622-c-37-4 | R-210622-c-35-4 | R-210622-c-30-4 | R-210622-c-34-4 | R-210622-c-38-4 | R-210622-c-48-4 | R-210622-c-39-4 | R-210622-c-43-4 | R-210622-c-44-4,2022-06-21 00:00:00,deep,25.0 | 26.0 | 36.0 | 37.0 | 35.0 | 30.0 | 34.0 | 38.0 | 48.0 | 39.0 | 43.0 | 44.0,CRUSHED,,24
BS_220621_C_5,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-210622-c-25-5 | R-210622-c-26-5 | R-210622-c-36-5 | R-210622-c-37-5 | R-210622-c-35-5 | R-210622-c-30-5 | R-210622-c-34-5 | R-210622-c-38-5 | R-210622-c-48-5 | R-210622-c-44-5 | R-210622-c-39-5 | R-210622-c-43-5,2022-06-21 00:00:00,deep,25.0 | 26.0 | 36.0 | 37.0 | 35.0 | 30.0 | 34.0 | 38.0 | 48.0 | 44.0 | 39.0 | 43.0,CRUSHED,,24
BS_220621_C_6,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-210622-c-25-6 | R-210622-c-26-6 | R-210622-c-36-6 | R-210622-c-35-6 | R-210622-c-37-6 | R-210622-c-30-6 | R-210622-c-34-6 | R-210622-c-38-6 | R-210622-c-48-6 | R-210622-c-44-6 | R-210622-c-39-6 | R-210622-c-43-6,2022-06-21 00:00:00,deep,25.0 | 26.0 | 36.0 | 35.0 | 37.0 | 30.0 | 34.0 | 38.0 | 48.0 | 44.0 | 39.0 | 43.0,CRUSHED,,24
BS_220621_C_7,LS_LY_R_2022_SP_001,LY_R_2022,SP_001,R-210622-c-25-7 | R-210622-c-26-7 | R-210622-c-35-7 | R-210622-c-36-7 | R-210622-c-37-7 | R-210622-c-30-7 | R-210622-c-34-7 | R-210622-c-38-7 | R-210622-c-44-7 | R-210622-c-48-7 | R-210622-c-39-7 | R-210622-c-43-7,2022-06-21 00:00:00,deep,25.0 | 26.0 | 35.0 | 36.0 | 37.0 | 30.0 | 34.0 | 38.0 | 44.0 | 48.0 | 39.0 | 43.0,CRUSHED,Alex_Bead_beater_x7_Lid_stuck,24
BS_220621_W_1,LS_LY_R_2022_SP_020,LY_R_2022,SP_020,R-210622-s-20E | R-210622-s-16E | R-210622-s-21E | R-210622-s-22E | R-210622-s-23E | R-210622-s-24E | R-210622-s-19E | R-210622-s-18E | R-210622-s-17E | R-210622-s-1E | R-210622-s-2E | R-210622-s-3E | ... (24 values),2022-06-21 00:00:00,timeline,,WASHED,speedvac_DNA_still_no_DNA | seq_twice_combine_reads_speedvac_DNA | seq_twice_combine_reads | seq_twice_combine_reads_speedvac_DNA_still_no_DNA | speedvac_DNA,45
BS_220623_C_0,LS_LY_A_2022_SP_004,LY_A_2022,SP_004,A-230622-c-52 | A-230622-c-53 | A-230622-c-54 | A-230622-c-55 | A-230622-c-56 | A-230622-c-57 | A-230622-c-69 | A-230622-c-64 | A-230622-c-65 | A-230622-c-66 | A-230622-c-67 | A-230622-c-68,2022-06-23 00:00:00,deep,52.0 | 53.0 | 54.0 | 55.0 | 56.0 | 57.0 | 69.0 | 64.0 | 65.0 | 66.0 | 67.0 | 68.0,CRUSHED,Alex_May_have_thawed_before_freezedrying,110
BS_220623_C_1,LS_LY_A_2022_SP_011,LY_A_2022,SP_011,A-230622-c-59-1 | A-230622-c-60-1 | A-230622-c-61-1 | A-230622-c-51-1 | A-230622-c-58-1 | A-230622-c-71-1 | A-230622-c-72-1 | A-230622-c-62-1 | A-230622-c-63-1 | A-230622-c-70-1 | A-230622-c-49-1 | A-230622-c-50-1,2022-06-23 00:00:00,deep,59.0 | 60.0 | 61.0 | 51.0 | 58.0 | 71.0 | 72.0 | 62.0 | 63.0 | 70.0 | 49.0 | 50.0,CRUSHED,,66
BS_220623_C_2,LS_LY_A_2022_SP_011,LY_A_2022,SP_011,A-230622-c-59-2 | A-230622-c-61-2 | A-230622-c-60-2 | A-230622-c-51-2 | A-230622-c-58-2 | A-230622-c-71-2 | A-230622-c-72-2 | A-230622-c-70-2 | A-230622-c-62-2 | A-230622-c-63-2 | A-230622-c-50-2 | A-230622-c-49-2,2022-06-23 00:00:00,deep,59.0 | 61.0 | 60.0 | 51.0 | 58.0 | 71.0 | 72.0 | 70.0 | 62.0 | 63.0 | 50.0 | 49.0,CRUSHED,,74
BS_220623_C_3,LS_LY_A_2022_SP_011,LY_A_2022,SP_011,A-230622-c-59-3 | A-230622-c-60-3 | A-230622-c-61-3 | A-230622-c-58-3 | A-230622-c-51-3 | A-230622-c-71-3 | A-230622-c-72-3 | A-230622-c-70-3 | A-230622-c-50-3 | A-230622-c-62-3 | A-230622-c-63-3 | A-230622-c-49-3,2022-06-23 00:00:00,deep,59.0 | 60.0 | 61.0 | 58.0 | 51.0 | 71.0 | 72.0 | 70.0 | 50.0 | 62.0 | 63.0 | 49.0,CRUSHED,,83
