RC_id,SR_id,RC_path,RC_filename,RC_read_direction,RC_reads
RC_seq230707_DWDQH_H_200622_16S_c_17_5_S119_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-17-5_S119_L001_R2_001.fastq.gz,H-200622-16S-c-17-5_S119_L001_R2_001.fastq.gz,R2,21283
RC_seq230707_DWDQH_H_200622_16S_c_17_2_S116_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-17-2_S116_L001_R2_001.fastq.gz,H-200622-16S-c-17-2_S116_L001_R2_001.fastq.gz,R2,22360
RC_seq230707_DWDQH_R_160622_16S_c_7_S7_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-160622-16S-c-7_S7_L001_R2_001.fastq.gz,R-160622-16S-c-7_S7_L001_R2_001.fastq.gz,R2,33040
RC_seq230707_DWDQH_H_200622_16S_c_15_3_S105_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-15-3_S105_L001_R1_001.fastq.gz,H-200622-16S-c-15-3_S105_L001_R1_001.fastq.gz,R1,19381
RC_seq230707_DWDQH_A_230622_16S_c_53_S112_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-53_S112_L001_R1_001.fastq.gz,A-230622-16S-c-53_S112_L001_R1_001.fastq.gz,R1,58377
RC_seq230707_DWDQH_H_200622_16S_c_24_5_S167_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-24-5_S167_L001_R1_001.fastq.gz,H-200622-16S-c-24-5_S167_L001_R1_001.fastq.gz,R1,24880
RC_seq230707_DWDQH_A_230622_16S_c_51_6_S109_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-51-6_S109_L001_R1_001.fastq.gz,A-230622-16S-c-51-6_S109_L001_R1_001.fastq.gz,R1,46421
RC_seq230707_DWDQH_H_200622_16S_c_22_3_S152_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-22-3_S152_L001_R1_001.fastq.gz,H-200622-16S-c-22-3_S152_L001_R1_001.fastq.gz,R1,26369
RC_seq230707_DWDQH_A_230622_16S_c_63_2_S152_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-63-2_S152_L001_R1_001.fastq.gz,A-230622-16S-c-63-2_S152_L001_R1_001.fastq.gz,R1,44181
RC_seq230707_DWDQH_H_200622_16S_c_22_5_S154_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-22-5_S154_L001_R2_001.fastq.gz,H-200622-16S-c-22-5_S154_L001_R2_001.fastq.gz,R2,21011
RC_seq230707_DWDQH_A_230622_16S_c_63_4_S154_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-63-4_S154_L001_R2_001.fastq.gz,A-230622-16S-c-63-4_S154_L001_R2_001.fastq.gz,R2,42493
RC_seq230707_DWDQH_H_200622_16S_c_22_1_S150_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-22-1_S150_L001_R1_001.fastq.gz,H-200622-16S-c-22-1_S150_L001_R1_001.fastq.gz,R1,17306
RC_seq230707_DWDQH_A_230622_16S_c_70_1_S164_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-70-1_S164_L001_R1_001.fastq.gz,A-230622-16S-c-70-1_S164_L001_R1_001.fastq.gz,R1,47351
RC_seq230707_DWDQH_H_200622_16S_c_22_7_S156_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-22-7_S156_L001_R2_001.fastq.gz,H-200622-16S-c-22-7_S156_L001_R2_001.fastq.gz,R2,18576
