bio_sample_ID,suggested_correct_seq_sample_ID,corrected_forward_fq,amplicon.x,sample_type,TYPE,YEAR,sample_date,density,cultivar,fertiliser,spray_fungicide,block,subplot,ID_on_field,run_ID,S5_index_ID,lib_plate_number,crushed_or_washed_date,lyophilised_date,PCR1_date,PCR2_date,days_between_DNA_x,DNA_ext_date,plate_position,lib_DNA_conc,DNA_conc_plate,DNA_conc_individual,sample_weight,sample,raw_reads,amplicon.y,seq_run,filtered_reads,ASV_reads,location,ddmmyy,amplicon,type,aphid,plot,seq_control_run,lib_control_type,replicate,date,lost_filtering,lost_denoising,lost_total,lost_filtering_pct,lost_denoising_pct,lost_total_pct,pass_filter,purpose,sample_day_of_the_year,library,fertiliser_wrong,ID_on_field.1,lib_date,Days_between_DNA_x,speedvac_DNA_conc_individual,sample_weight_g
31,T-150621-c-62,T-150621-ITS-c-62,T-150621-ITS-c-62_S116_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Sheriff,Normal,no,2,6,,seq230710_GW4I8,S506,1,,,2023-04-20,2023-04-20,,,8F,2.01341124688858,54.9,,15,T-150621-ITS-c-62_S116,12886,ITS,seq230710_GW4I8,12886,8448,T,150621,ITS,c,,62,,,,2021-06-15,0,4438,4438,0,34.440478038181,34.440478038181,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
32,T-150621-c-61,T-150621-ITS-c-61,T-150621-ITS-c-61_S115_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Sheriff,Normal,no,2,6,,seq230710_GW4I8,S505,1,,,2023-04-20,2023-04-20,,,8E,1.48041651626448,55.87,,15,T-150621-ITS-c-61_S115,15111,ITS,seq230710_GW4I8,15111,9848,T,150621,ITS,c,,61,,,,2021-06-15,0,5263,5263,0,34.8289325656806,34.8289325656806,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
33,T-150621-c-60,T-150621-ITS-c-60,T-150621-ITS-c-60_S114_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Kvium,Half,no,2,5,,seq230710_GW4I8,S504,1,,,2023-04-20,2023-04-20,,,8D,2.36566584650827,55.87,,15,T-150621-ITS-c-60_S114,10281,ITS,seq230710_GW4I8,10281,6556,T,150621,ITS,c,,60,,,,2021-06-15,0,3725,3725,0,36.231884057971,36.231884057971,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
34,T-150621-c-59,T-150621-ITS-c-59,T-150621-ITS-c-59_S113_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Sheriff,Half,no,2,5,,seq230710_GW4I8,S503,1,,,2023-04-20,2023-04-20,,,8C,1.86657318592576,55.87,,15,T-150621-ITS-c-59_S113,12648,ITS,seq230710_GW4I8,12648,7969,T,150621,ITS,c,,59,,,,2021-06-15,0,4679,4679,0,36.993991144845,36.993991144845,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
35,T-150621-c-40,T-150621-ITS-c-40,T-150621-ITS-c-40_S94_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Heerup,Zero,no,2,4,,seq230710_GW4I8,S508,1,,,2023-04-20,2023-04-20,,,5H,1.46002825023221,29.3838533066829,,15,T-150621-ITS-c-40_S94,13558,ITS,seq230710_GW4I8,13558,8995,T,150621,ITS,c,,40,,,,2021-06-15,0,4563,4563,0,33.6554064021242,33.6554064021242,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
36,T-150621-c-74,T-150621-ITS-c-74,T-150621-ITS-c-74_S128_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Rembrandt,Normal,no,3,7,,seq230710_GW4I8,S502,1,,,2023-04-20,2023-04-20,,,10B,2.89906364005227,21.2853045972017,,15,T-150621-ITS-c-74_S128,9871,ITS,seq230710_GW4I8,9871,7124,T,150621,ITS,c,,74,,,,2021-06-15,0,2747,2747,0,27.8289940228953,27.8289940228953,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
37,T-150621-c-39,T-150621-ITS-c-39,T-150621-ITS-c-39_S93_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Heerup,Zero,no,2,4,,seq230710_GW4I8,S510,1,,,2023-04-20,2023-04-20,,,5G,7.08285674875118,56.263144173112,,15,T-150621-ITS-c-39_S93,11837,ITS,seq230710_GW4I8,11837,7550,T,150621,ITS,c,,39,,,,2021-06-15,0,4287,4287,0,36.2169468615359,36.2169468615359,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
38,T-150621-c-37,T-150621-ITS-c-37,T-150621-ITS-c-37_S91_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Sheriff,Zero,no,2,4,,seq230710_GW4I8,S505,1,,,2023-04-20,2023-04-20,,,5E,2.34653155400461,19.6575997219084,,15,T-150621-ITS-c-37_S91,12728,ITS,seq230710_GW4I8,12728,2763,T,150621,ITS,c,,37,,,,2021-06-15,0,9965,9965,0,78.2919547454431,78.2919547454431,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
39,T-150621-c-16,T-150621-ITS-c-16,T-150621-ITS-c-16_S70_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Heerup,Half,no,1,2,,seq230710_GW4I8,S508,1,,,2023-04-20,2023-04-20,,,2H,5.74652403016344,56.263144173112,,15,T-150621-ITS-c-16_S70,9226,ITS,seq230710_GW4I8,9226,5596,T,150621,ITS,c,,16,,,,2021-06-15,0,3630,3630,0,39.3453284196835,39.3453284196835,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
40,T-150621-c-15,T-150621-ITS-c-15,T-150621-ITS-c-15_S69_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Sheriff,Half,no,1,2,,seq230710_GW4I8,S507,1,,,2023-04-20,2023-04-20,,,2G,5.80809189118018,56.263144173112,,15,T-150621-ITS-c-15_S69,8439,ITS,seq230710_GW4I8,8439,5151,T,150621,ITS,c,,15,,,,2021-06-15,0,3288,3288,0,38.9619623178102,38.9619623178102,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
