Path	Reads	TTC	ACG
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-50-5_S101_L001_R1_001.fastq.gz	51518	0	50904
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-22-5_S154_L001_R2_001.fastq.gz	21011	93	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-15-3_S105_L001_R1_001.fastq.gz	19381	0	19129
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-72-5_S182_L001_R2_001.fastq.gz	53481	20	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-59-1_S124_L001_R1_001.fastq.gz	35772	0	35325
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-50-2_S98_L001_R2_001.fastq.gz	38903	80	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-22-7_S156_L001_R2_001.fastq.gz	18576	112	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-22-1_S150_L001_R1_001.fastq.gz	17306	0	17036
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-50-7_S103_L001_R1_001.fastq.gz	44895	0	44377
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-280622-16S-c-79_S19_L001_R1_001.fastq.gz	29474	0	29130
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-24-1_S163_L001_R2_001.fastq.gz	32118	143	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-70-3_S166_L001_R1_001.fastq.gz	42513	0	41964
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-38-4_S52_L001_R1_001.fastq.gz	30518	0	30146
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-140722-16S-c-126_S66_L001_R1_001.fastq.gz	34124	0	33809
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-43-7_S72_L001_R2_001.fastq.gz	50107	6	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-59-3_S126_L001_R1_001.fastq.gz	40716	0	40210
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-040722-16S-c-118_S58_L001_R2_001.fastq.gz	27893	21	0
