Path	Reads
./seq230707_DWDQH/R-210622-16S-c-43-4_S69_L001_R2_001.fastq.gz	27686
./seq230707_DWDQH/H-200622-16S-c-21-1_S143_L001_R1_001.fastq.gz	23216
./seq230707_DWDQH/R-140722-16S-c-144_S83_L001_R2_001.fastq.gz	27336
./seq230707_DWDQH/R-140722-16S-c-132_S72_L001_R1_001.fastq.gz	19178
./seq230707_DWDQH/A-230622-16S-c-58-4_S120_L001_R1_001.fastq.gz	51423
./seq230707_DWDQH/R-210622-16S-c-32_S19_L001_R1_001.fastq.gz	21875
./seq230707_DWDQH/A-230622-16S-c-52_S111_L001_R1_001.fastq.gz	38922
./seq230707_DWDQH/H-200622-16S-c-14-5_S101_L001_R2_001.fastq.gz	32353
./seq230707_DWDQH/H-200622-16S-c-21-5_S147_L001_R2_001.fastq.gz	28723
./seq230707_DWDQH/R-140722-16S-c-134_S74_L001_R2_001.fastq.gz	26703
./seq230707_DWDQH/A-230622-16S-c-72-4_S181_L001_R2_001.fastq.gz	60280
./seq230707_DWDQH/A-230622-16S-c-58-6_S122_L001_R1_001.fastq.gz	27898
./seq230707_DWDQH/R-P1-16S-c-neg_S89_L001_R2_001.fastq.gz	29446
./seq230707_DWDQH/H-200622-16S-c-20-3_S138_L001_R2_001.fastq.gz	22488
./seq230707_DWDQH/H-200622-16S-c-22-6_S155_L001_R2_001.fastq.gz	23335
./seq230707_DWDQH/H-200622-16S-c-17-6_S120_L001_R1_001.fastq.gz	26743
./seq230707_DWDQH/A-230622-16S-c-56_S115_L001_R2_001.fastq.gz	31561
./seq230707_DWDQH/R-040722-16S-c-119_S59_L001_R1_001.fastq.gz	29673
./seq230707_DWDQH/R-140722-16S-c-121_S61_L001_R1_001.fastq.gz	25013
./seq230707_DWDQH/R-140722-16S-c-127_S67_L001_R2_001.fastq.gz	26642
./seq230707_DWDQH/A-230622-16S-c-51-5_S108_L001_R1_001.fastq.gz	39721
./seq230707_DWDQH/A-230622-16S-c-62-4_S147_L001_R2_001.fastq.gz	40519
./seq230707_DWDQH/A-230622-16S-c-70-2_S165_L001_R1_001.fastq.gz	44303
./seq230707_DWDQH/R-210622-16S-c-38-5_S53_L001_R2_001.fastq.gz	26834
./seq230707_DWDQH/A-230622-16S-c-60-7_S136_L001_R1_001.fastq.gz	58300
./seq230707_DWDQH/R-210622-16S-c-44-4_S76_L001_R1_001.fastq.gz	288665
./seq230707_DWDQH/R-160622-16S-c-2_S2_L001_R2_001.fastq.gz	25064
./seq230707_DWDQH/R-210622-16S-c-39-3_S58_L001_R1_001.fastq.gz	40266
./seq230707_DWDQH/R-160622-16S-c-5_S5_L001_R2_001.fastq.gz	32304
./seq230707_DWDQH/H-200622-16S-c-13-4_S93_L001_R1_001.fastq.gz	19663
./seq230707_DWDQH/H-200622-16S-c-16-4_S112_L001_R2_001.fastq.gz	16483
./seq230707_DWDQH/R-280622-16S-c-78_S18_L001_R2_001.fastq.gz	28327
./seq230707_DWDQH/A-230622-16S-c-59-2_S125_L001_R1_001.fastq.gz	39623
