EX_id,BS_id,EX_date,EX_plate,EX_dna_conc,EX_row_count
EX_LY_A_2022_SP_010_BS_230622_W_5_EX_230728,BS_230622_W_5,2023-07-28,8.0,0.2,3
EX_LY_A_2022_SP_010_BS_230622_W_6_EX_230728,BS_230622_W_6,2023-07-28,8.0,0.368,3
EX_LY_A_2022_SP_010_BS_230622_W_7_EX_230728,BS_230622_W_7,2023-07-28,8.0,0.391,3
EX_LY_A_2022_SP_011_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_011_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_011_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_011_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_011_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_011_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_011_BS_220623_C_7_EX_221012,BS_220623_C_7,2022-10-12,4.0,,2
EX_LY_A_2022_SP_011_BS_230622_W_1_EX_230728,BS_230622_W_1,2023-07-28,8.0,0.086,3
EX_LY_A_2022_SP_011_BS_230622_W_2_EX_230728,BS_230622_W_2,2023-07-28,8.0,0.012,3
EX_LY_A_2022_SP_011_BS_230622_W_3_EX_230728,BS_230622_W_3,2023-07-28,8.0,0.029,3
EX_LY_A_2022_SP_011_BS_230622_W_4_EX_230728,BS_230622_W_4,2023-07-28,8.0,0.174,3
EX_LY_A_2022_SP_011_BS_230622_W_5_EX_230731,BS_230622_W_5,2023-07-31,8.0,0.121,3
EX_LY_A_2022_SP_011_BS_230622_W_6_EX_230731,BS_230622_W_6,2023-07-31,8.0,0.048,3
EX_LY_A_2022_SP_011_BS_230622_W_7_EX_230731,BS_230622_W_7,2023-07-31,8.0,0.424,3
EX_LY_A_2022_SP_012_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,4.0,,2
EX_LY_A_2022_SP_012_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0,,2
EX_LY_A_2022_SP_012_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0,,2
EX_LY_A_2022_SP_012_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,4.0,,2
EX_LY_A_2022_SP_012_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,4.0,,2
EX_LY_A_2022_SP_012_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,4.0,,2
EX_LY_A_2022_SP_012_BS_220623_C_7_EX_221012,BS_220623_C_7,2022-10-12,4.0,,2
EX_LY_A_2022_SP_012_BS_230622_W_1_EX_230731,BS_230622_W_1,2023-07-31,8.0,0.201,3
EX_LY_A_2022_SP_012_BS_230622_W_2_EX_230731,BS_230622_W_2,2023-07-31,8.0,0.04,3
EX_LY_A_2022_SP_012_BS_230622_W_3_EX_230731,BS_230622_W_3,2023-07-31,8.0,0.125,3
EX_LY_A_2022_SP_012_BS_230622_W_4_EX_230731,BS_230622_W_4,2023-07-31,8.0,0.035,3
EX_LY_A_2022_SP_012_BS_230622_W_5_EX_230731,BS_230622_W_5,2023-07-31,8.0,0.013,3
EX_LY_A_2022_SP_012_BS_230622_W_6_EX_230731,BS_230622_W_6,2023-07-31,8.0,0.055,3
EX_LY_A_2022_SP_012_BS_230622_W_7_EX_230731,BS_230622_W_7,2023-07-31,8.0,0.006,3
EX_LY_A_2022_SP_013_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,4.0 | 4,,12
EX_LY_A_2022_SP_013_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0 | 4,,12
EX_LY_A_2022_SP_013_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0 | 4,,12
EX_LY_A_2022_SP_013_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,4.0,,2
EX_LY_A_2022_SP_013_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,4.0,,2
EX_LY_A_2022_SP_013_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,4.0,,2
EX_LY_A_2022_SP_013_BS_220623_C_7_EX_221012,BS_220623_C_7,2022-10-12,4.0,,2
EX_LY_A_2022_SP_013_BS_230622_W_1_EX_230731,BS_230622_W_1,2023-07-31,8.0,0.012,1
