SA_id,LP_id,SR_id,BS_id,EX_id,LS_id,LY_id,SP_id,SA_source,SA_seq_sample_ID,SA_is_rerun,SA_sequencing_run,SA_duplicate_number
SA_seq230710_GW4I8__T_2020_ITS_c_41__2020_washed_amplicon,LP_LY_T_2020_SP_041_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_041_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_041,LY_T_2020,SP_041,2020_washed_amplicon,T-2020-ITS-c-41,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_39__2020_washed_amplicon,LP_LY_T_2020_SP_039_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_039_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_039,LY_T_2020,SP_039,2020_washed_amplicon,T-2020-ITS-c-39,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_38__2020_washed_amplicon,LP_LY_T_2020_SP_038_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_038_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_038,LY_T_2020,SP_038,2020_washed_amplicon,T-2020-ITS-c-38,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_37__2020_washed_amplicon,LP_LY_T_2020_SP_037_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_037_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_037,LY_T_2020,SP_037,2020_washed_amplicon,T-2020-ITS-c-37,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_36__2020_washed_amplicon,LP_LY_T_2020_SP_036_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_036_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_036,LY_T_2020,SP_036,2020_washed_amplicon,T-2020-ITS-c-36,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_35__2020_washed_amplicon,LP_LY_T_2020_SP_035_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_035_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_035,LY_T_2020,SP_035,2020_washed_amplicon,T-2020-ITS-c-35,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_34__2020_washed_amplicon,LP_LY_T_2020_SP_034_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_034_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_034,LY_T_2020,SP_034,2020_washed_amplicon,T-2020-ITS-c-34,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_33__2020_washed_amplicon,LP_LY_T_2020_SP_033_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_033_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_033,LY_T_2020,SP_033,2020_washed_amplicon,T-2020-ITS-c-33,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_32__2020_washed_amplicon,LP_LY_T_2020_SP_032_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_032_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_032,LY_T_2020,SP_032,2020_washed_amplicon,T-2020-ITS-c-32,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_31__2020_washed_amplicon,LP_LY_T_2020_SP_031_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_031_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_031,LY_T_2020,SP_031,2020_washed_amplicon,T-2020-ITS-c-31,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_30__2020_washed_amplicon,LP_LY_T_2020_SP_030_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_030_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_030,LY_T_2020,SP_030,2020_washed_amplicon,T-2020-ITS-c-30,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_29__2020_washed_amplicon,LP_LY_T_2020_SP_029_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_029_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_029,LY_T_2020,SP_029,2020_washed_amplicon,T-2020-ITS-c-29,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_40__2020_washed_amplicon,LP_LY_T_2020_SP_040_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_040_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_040,LY_T_2020,SP_040,2020_washed_amplicon,T-2020-ITS-c-40,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_neg__2020_washed_amplicon,LP_LY_X_0000_SP_000_BS_ULWCTL_X_0_EX_000000_LP_230428_ITS,seq230710_GW4I8,BS_ULWCTL_X_0,EX_LY_X_0000_SP_000_BS_ULWCTL_X_0_EX_000000,LS_LY_X_0000_SP_000,LY_X_0000,SP_000,2020_washed_amplicon,T-2020-ITS-c-neg,False,seq230710_GW4I8,1
SA_seq230714_FWU63__T_2020_16S_c_1__2020_washed_amplicon,LP_LY_T_2020_SP_001_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_001_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_001,LY_T_2020,SP_001,2020_washed_amplicon,T-2020-16S-c-1,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_52__2020_washed_amplicon,LP_LY_X_0000_SP_000_BS_ALXCTL_X_0_EX_000000_LP_230323_16S,seq230714_FWU63,BS_ALXCTL_X_0,EX_LY_X_0000_SP_000_BS_ALXCTL_X_0_EX_000000,LS_LY_X_0000_SP_000,LY_X_0000,SP_000,2020_washed_amplicon,T-2020-16S-c-52,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_24__2020_washed_amplicon,LP_LY_T_2020_SP_024_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_024_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_024,LY_T_2020,SP_024,2020_washed_amplicon,T-2020-16S-c-24,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_23__2020_washed_amplicon,LP_LY_T_2020_SP_023_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_023_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_023,LY_T_2020,SP_023,2020_washed_amplicon,T-2020-16S-c-23,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_22__2020_washed_amplicon,LP_LY_T_2020_SP_022_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_022_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_022,LY_T_2020,SP_022,2020_washed_amplicon,T-2020-16S-c-22,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_21__2020_washed_amplicon,LP_LY_T_2020_SP_021_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_021_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_021,LY_T_2020,SP_021,2020_washed_amplicon,T-2020-16S-c-21,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_20__2020_washed_amplicon,LP_LY_T_2020_SP_020_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_020_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_020,LY_T_2020,SP_020,2020_washed_amplicon,T-2020-16S-c-20,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_19__2020_washed_amplicon,LP_LY_T_2020_SP_019_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_019_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_019,LY_T_2020,SP_019,2020_washed_amplicon,T-2020-16S-c-19,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_18__2020_washed_amplicon,LP_LY_T_2020_SP_018_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_018_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_018,LY_T_2020,SP_018,2020_washed_amplicon,T-2020-16S-c-18,False,seq230714_FWU63,1
SA_seq230714_FWU63__T_2020_16S_c_17__2020_washed_amplicon,LP_LY_T_2020_SP_017_BS_200603_W_1_EX_210109_LP_230323_16S,seq230714_FWU63,BS_200603_W_1,EX_LY_T_2020_SP_017_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_017,LY_T_2020,SP_017,2020_washed_amplicon,T-2020-16S-c-17,False,seq230714_FWU63,1
