LS_id,LY_id,SP_id,LS_block,LS_plot,LS_subplot,LS_cultivar,LS_spray,LS_fertilizer,LS_density,LS_location,LS_row_count
LS_LY_T_2021_SP_037,LY_T_2021,SP_037,2.0,37.0,4.0,Sheriff,n,HALF,300.0,,2
LS_LY_T_2021_SP_038,LY_T_2021,SP_038,2.0,38.0,4.0,Rembrandt,n,HALF,300.0,,2
LS_LY_T_2021_SP_039,LY_T_2021,SP_039,2.0,39.0,4.0,Heerup,n,HALF,300.0,,2
LS_LY_T_2021_SP_040,LY_T_2021,SP_040,2.0,40.0,4.0,Heerup,n,HALF,450.0,,2
LS_LY_T_2021_SP_041,LY_T_2021,SP_041,2.0,41.0,4.0,Kvium,n,HALF,450.0,,2
LS_LY_T_2021_SP_042,LY_T_2021,SP_042,2.0,42.0,4.0,Rembrandt,n,HALF,450.0,,2
LS_LY_T_2021_SP_043,LY_T_2021,SP_043,2.0,43.0,4.0,Sheriff,n,HALF,450.0,,2
LS_LY_T_2021_SP_044,LY_T_2021,SP_044,2.0,44.0,4.0,Kvium,n,HALF,300.0,,2
LS_LY_T_2021_SP_045,LY_T_2021,SP_045,2.0,45.0,4.0,Rembrandt,n,HALF,150.0,,2
LS_LY_T_2021_SP_046,LY_T_2021,SP_046,2.0,46.0,4.0,Heerup,n,HALF,150.0,,2
LS_LY_T_2021_SP_047,LY_T_2021,SP_047,2.0,47.0,4.0,Kvium,n,HALF,150.0,,2
LS_LY_T_2021_SP_048,LY_T_2021,SP_048,2.0,48.0,4.0,Sheriff,n,HALF,150.0,,2
LS_LY_T_2021_SP_049,LY_T_2021,SP_049,2.0,49.0,5.0,Rembrandt,n,NORMAL,300.0,,2
LS_LY_T_2021_SP_050,LY_T_2021,SP_050,2.0,50.0,5.0,Kvium,n,NORMAL,150.0,,2
LS_LY_T_2021_SP_051,LY_T_2021,SP_051,2.0,51.0,5.0,Sheriff,n,NORMAL,300.0,,2
LS_LY_T_2021_SP_052,LY_T_2021,SP_052,2.0,52.0,5.0,Rembrandt,n,NORMAL,450.0,,2
LS_LY_T_2021_SP_053,LY_T_2021,SP_053,2.0,53.0,5.0,Heerup,n,NORMAL,450.0,,2
LS_LY_T_2021_SP_054,LY_T_2021,SP_054,2.0,54.0,5.0,Heerup,n,NORMAL,300.0,,2
LS_LY_T_2021_SP_055,LY_T_2021,SP_055,2.0,55.0,5.0,Rembrandt,n,NORMAL,150.0,,2
LS_LY_T_2021_SP_056,LY_T_2021,SP_056,2.0,56.0,5.0,Heerup,n,NORMAL,150.0,,2
LS_LY_T_2021_SP_057,LY_T_2021,SP_057,2.0,57.0,5.0,Sheriff,n,NORMAL,150.0,,2
LS_LY_T_2021_SP_058,LY_T_2021,SP_058,2.0,58.0,5.0,Kvium,n,NORMAL,300.0,,2
LS_LY_T_2021_SP_059,LY_T_2021,SP_059,2.0,59.0,5.0,Sheriff,n,NORMAL,450.0,,2
LS_LY_T_2021_SP_060,LY_T_2021,SP_060,2.0,60.0,5.0,Kvium,n,NORMAL,450.0,,2
LS_LY_T_2021_SP_061,LY_T_2021,SP_061,2.0,61.0,6.0,Sheriff,n,HALF,450.0,,2
LS_LY_T_2021_SP_062,LY_T_2021,SP_062,2.0,62.0,6.0,Sheriff,n,HALF,300.0,,2
LS_LY_T_2021_SP_063,LY_T_2021,SP_063,2.0,63.0,6.0,Kvium,n,HALF,450.0,,2
LS_LY_T_2021_SP_064,LY_T_2021,SP_064,2.0,64.0,6.0,Heerup,n,HALF,450.0,,2
LS_LY_T_2021_SP_065,LY_T_2021,SP_065,2.0,65.0,6.0,Heerup,n,HALF,150.0,,2
LS_LY_T_2021_SP_066,LY_T_2021,SP_066,2.0,66.0,6.0,Rembrandt,n,HALF,150.0,,2
LS_LY_T_2021_SP_067,LY_T_2021,SP_067,2.0,67.0,6.0,Kvium,n,HALF,150.0,,2
LS_LY_T_2021_SP_068,LY_T_2021,SP_068,2.0,68.0,6.0,Rembrandt,n,HALF,450.0,,2
LS_LY_T_2021_SP_069,LY_T_2021,SP_069,2.0,69.0,6.0,Rembrandt,n,HALF,300.0,,2
LS_LY_T_2021_SP_070,LY_T_2021,SP_070,2.0,70.0,6.0,Heerup,n,HALF,300.0,,2
LS_LY_T_2021_SP_071,LY_T_2021,SP_071,2.0,71.0,6.0,Sheriff,n,HALF,150.0,,2
LS_LY_T_2021_SP_072,LY_T_2021,SP_072,2.0,72.0,6.0,Kvium,n,HALF,300.0,,2
LS_LY_T_2021_SP_073,LY_T_2021,SP_073,3.0,73.0,7.0,Rembrandt,n,HALF,300.0,,2
LS_LY_T_2021_SP_074,LY_T_2021,SP_074,3.0,74.0,7.0,Rembrandt,n,HALF,450.0,,2
LS_LY_T_2021_SP_075,LY_T_2021,SP_075,3.0,75.0,7.0,Heerup,n,HALF,150.0,,2
LS_LY_T_2021_SP_076,LY_T_2021,SP_076,3.0,76.0,7.0,Rembrandt,n,HALF,150.0,,2
LS_LY_T_2021_SP_077,LY_T_2021,SP_077,3.0,77.0,7.0,Sheriff,n,HALF,150.0,,2
LS_LY_T_2021_SP_078,LY_T_2021,SP_078,3.0,78.0,7.0,Heerup,n,HALF,450.0,,2
LS_LY_T_2021_SP_079,LY_T_2021,SP_079,3.0,79.0,7.0,Kvium,n,HALF,150.0,,2
LS_LY_T_2021_SP_080,LY_T_2021,SP_080,3.0,80.0,7.0,Kvium,n,HALF,450.0,,2
LS_LY_T_2021_SP_081,LY_T_2021,SP_081,3.0,81.0,7.0,Heerup,n,HALF,300.0,,2
