FF_id,FP_id,SA_id,SR_id,FF_read_direction,FF_filename,FF_relative_path,FF_reads
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_26_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_26_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_26__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-26_S26_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-26_S26_L001_R2_001.fastq.gz,26317
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_27_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_27_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_27__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-27_S27_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-27_S27_L001_R1_001.fastq.gz,29985
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_27_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_27_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_27__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-27_S27_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-27_S27_L001_R2_001.fastq.gz,29985
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_28_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_28_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_28__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-28_S28_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-28_S28_L001_R1_001.fastq.gz,34699
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_28_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_28_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_28__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-28_S28_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-28_S28_L001_R2_001.fastq.gz,34699
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_52_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_52_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_52__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-52_S52_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-52_S52_L001_R1_001.fastq.gz,34535
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_52_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_52_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_52__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-52_S52_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-52_S52_L001_R2_001.fastq.gz,34535
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_51_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_51_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_51__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-51_S51_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-51_S51_L001_R1_001.fastq.gz,36293
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_51_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_51_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_51__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-51_S51_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-51_S51_L001_R2_001.fastq.gz,36293
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_50_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_50_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_50__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-50_S50_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-50_S50_L001_R1_001.fastq.gz,39244
