sampling_plot_id,location_year_id,scheme,grid_number,grid_point,distance,edge,block,plot,subplot,plot_label,x,y,spray_fungicide,fertiliser,cultivar,cultivar_alt,density,spray,fertilizer
SP__LY__2021__2.0__72.0__6.0,LY__2021,,,,,,2.0,72.0,6.0,,,,n,Half,Kvium,,300.0,,
SP__LY__2021__2.0__71.0__6.0,LY__2021,,,,,,2.0,71.0,6.0,,,,n,Half,Sheriff,,150.0,,
SP__LY__2021__2.0__70.0__6.0,LY__2021,,,,,,2.0,70.0,6.0,,,,n,Half,Heerup,,300.0,,
SP__LY__2021__2.0__69.0__6.0,LY__2021,,,,,,2.0,69.0,6.0,,,,n,Half,Rembrandt,,300.0,,
SP__LY__2021__2.0__68.0__6.0,LY__2021,,,,,,2.0,68.0,6.0,,,,n,Half,Rembrandt,,450.0,,
SP__LY__2021__3.0__74.0__7.0,LY__2021,,,,,,3.0,74.0,7.0,,,,n,Half,Rembrandt,,450.0,,
SP__LY__2021__2.0__67.0__6.0,LY__2021,,,,,,2.0,67.0,6.0,,,,n,Half,Kvium,,150.0,,
SP__LY__2021__2.0__65.0__6.0,LY__2021,,,,,,2.0,65.0,6.0,,,,n,Half,Heerup,,150.0,,
SP__LY__2021__2.0__64.0__6.0,LY__2021,,,,,,2.0,64.0,6.0,,,,n,Half,Heerup,,450.0,,
SP__LY__2021__2.0__63.0__6.0,LY__2021,,,,,,2.0,63.0,6.0,,,,n,Half,Kvium,,450.0,,
SP__LY__2021__2.0__62.0__6.0,LY__2021,,,,,,2.0,62.0,6.0,,,,n,Half,Sheriff,,300.0,,
SP__LY__2021__2.0__61.0__6.0,LY__2021,,,,,,2.0,61.0,6.0,,,,n,Half,Sheriff,,450.0,,
SP__LY__2021__2.0__60.0__5.0,LY__2021,,,,,,2.0,60.0,5.0,,,,n,Normal,Kvium,,450.0,,
SP__LY__2021__2.0__66.0__6.0,LY__2021,,,,,,2.0,66.0,6.0,,,,n,Half,Rembrandt,,150.0,,
SP__LY__2021__3.0__75.0__7.0,LY__2021,,,,,,3.0,75.0,7.0,,,,n,Half,Heerup,,150.0,,
SP__LY__2021__3.0__76.0__7.0,LY__2021,,,,,,3.0,76.0,7.0,,,,n,Half,Rembrandt,,150.0,,
SP__LY__2021__3.0__77.0__7.0,LY__2021,,,,,,3.0,77.0,7.0,,,,n,Half,Sheriff,,150.0,,
SP__LY__2021__3.0__92.0__8.0,LY__2021,,,,,,3.0,92.0,8.0,,,,n,Zero,Sheriff,,450.0,,
SP__LY__2021__3.0__91.0__8.0,LY__2021,,,,,,3.0,91.0,8.0,,,,n,Zero,Heerup,,450.0,,
SP__LY__2021__3.0__90.0__8.0,LY__2021,,,,,,3.0,90.0,8.0,,,,n,Zero,Sheriff,,150.0,,
SP__LY__2021__3.0__89.0__8.0,LY__2021,,,,,,3.0,89.0,8.0,,,,n,Zero,Rembrandt,,450.0,,
SP__LY__2021__3.0__88.0__8.0,LY__2021,,,,,,3.0,88.0,8.0,,,,n,Zero,Sheriff,,300.0,,
SP__LY__2021__3.0__87.0__8.0,LY__2021,,,,,,3.0,87.0,8.0,,,,n,Zero,Kvium,,300.0,,
SP__LY__2021__3.0__86.0__8.0,LY__2021,,,,,,3.0,86.0,8.0,,,,n,Zero,Heerup,,300.0,,
SP__LY__2021__3.0__85.0__8.0,LY__2021,,,,,,3.0,85.0,8.0,,,,n,Zero,Heerup,,150.0,,
SP__LY__2021__3.0__84.0__7.0,LY__2021,,,,,,3.0,84.0,7.0,,,,n,Half,Sheriff,,450.0,,
SP__LY__2021__3.0__83.0__7.0,LY__2021,,,,,,3.0,83.0,7.0,,,,n,Half,Kvium,,300.0,,
SP__LY__2021__3.0__82.0__7.0,LY__2021,,,,,,3.0,82.0,7.0,,,,n,Half,Sheriff,,300.0,,
SP__LY__2021__3.0__81.0__7.0,LY__2021,,,,,,3.0,81.0,7.0,,,,n,Half,Heerup,,300.0,,
SP__LY__2021__3.0__80.0__7.0,LY__2021,,,,,,3.0,80.0,7.0,,,,n,Half,Kvium,,450.0,,
SP__LY__2021__3.0__79.0__7.0,LY__2021,,,,,,3.0,79.0,7.0,,,,n,Half,Kvium,,150.0,,
SP__LY__2021__3.0__78.0__7.0,LY__2021,,,,,,3.0,78.0,7.0,,,,n,Half,Heerup,,450.0,,
SP__LY__2021__2.0__59.0__5.0,LY__2021,,,,,,2.0,59.0,5.0,,,,n,Normal,Sheriff,,450.0,,
SP__LY__2021__2.0__58.0__5.0,LY__2021,,,,,,2.0,58.0,5.0,,,,n,Normal,Kvium,,300.0,,
SP__LY__2021__2.0__57.0__5.0,LY__2021,,,,,,2.0,57.0,5.0,,,,n,Normal,Sheriff,,150.0,,
SP__LY__2021__2.0__56.0__5.0,LY__2021,,,,,,2.0,56.0,5.0,,,,n,Normal,Heerup,,150.0,,
