run_library_assignment_id,sequencing_run_id,library_preparation_id
RLA__seq230710_GW4I8__LP__DX__T-030620-w-30__1.0__4F__2021-01-09__1__4F__160.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-30__1.0__4F__2021-01-09__1__4F__160.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-29__1.0__4E__2021-01-09__1__4E__148.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-29__1.0__4E__2021-01-09__1__4E__148.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-40__1.0__5H__2021-01-09__1__5H__185.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-40__1.0__5H__2021-01-09__1__5H__185.0__ITS
RLA__seq230710_GW4I8__LP__DX__Ultrapure-water__7E__1__7E__151.0__ITS,seq230710_GW4I8,LP__DX__Ultrapure-water__7E__1__7E__151.0__ITS
RLA__seq230714_FWU63__LP__DX__T-030620-w-1__1.0__1A__2021-01-09__1__1A__97.0__16S,seq230714_FWU63,LP__DX__T-030620-w-1__1.0__1A__2021-01-09__1__1A__97.0__16S
RLA__seq230714_FWU63__LP__DX__alex-control__7D__1__7D__139.0__16S,seq230714_FWU63,LP__DX__alex-control__7D__1__7D__139.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-24__1.0__3H__2021-01-09__1__3H__183.0__16S,seq230714_FWU63,LP__DX__T-030620-w-24__1.0__3H__2021-01-09__1__3H__183.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-23__1.0__3G__2021-01-09__1__3G__171.0__16S,seq230714_FWU63,LP__DX__T-030620-w-23__1.0__3G__2021-01-09__1__3G__171.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-22__1.0__3F__2021-01-09__1__3F__159.0__16S,seq230714_FWU63,LP__DX__T-030620-w-22__1.0__3F__2021-01-09__1__3F__159.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-21__1.0__3E__2021-01-09__1__3E__147.0__16S,seq230714_FWU63,LP__DX__T-030620-w-21__1.0__3E__2021-01-09__1__3E__147.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-20__1.0__3D__2021-01-09__1__3D__135.0__16S,seq230714_FWU63,LP__DX__T-030620-w-20__1.0__3D__2021-01-09__1__3D__135.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-19__1.0__3C__2021-01-09__1__3C__123.0__16S,seq230714_FWU63,LP__DX__T-030620-w-19__1.0__3C__2021-01-09__1__3C__123.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-18__1.0__3B__2021-01-09__1__3B__111.0__16S,seq230714_FWU63,LP__DX__T-030620-w-18__1.0__3B__2021-01-09__1__3B__111.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-17__1.0__3A__2021-01-09__1__3A__99.0__16S,seq230714_FWU63,LP__DX__T-030620-w-17__1.0__3A__2021-01-09__1__3A__99.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-16__1.0__2H__2021-01-09__1__2H__182.0__16S,seq230714_FWU63,LP__DX__T-030620-w-16__1.0__2H__2021-01-09__1__2H__182.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-15__1.0__2G__2021-01-09__1__2G__170.0__16S,seq230714_FWU63,LP__DX__T-030620-w-15__1.0__2G__2021-01-09__1__2G__170.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-14__1.0__2F__2021-01-09__1__2F__158.0__16S,seq230714_FWU63,LP__DX__T-030620-w-14__1.0__2F__2021-01-09__1__2F__158.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-13__1.0__2E__2021-01-09__1__2E__146.0__16S,seq230714_FWU63,LP__DX__T-030620-w-13__1.0__2E__2021-01-09__1__2E__146.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-12__1.0__2D__2021-01-09__1__2D__134.0__16S,seq230714_FWU63,LP__DX__T-030620-w-12__1.0__2D__2021-01-09__1__2D__134.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-11__1.0__2C__2021-01-09__1__2C__122.0__16S,seq230714_FWU63,LP__DX__T-030620-w-11__1.0__2C__2021-01-09__1__2C__122.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-10__1.0__2B__2021-01-09__1__2B__110.0__16S,seq230714_FWU63,LP__DX__T-030620-w-10__1.0__2B__2021-01-09__1__2B__110.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-9__1.0__2A__2021-01-09__1__2A__98.0__16S,seq230714_FWU63,LP__DX__T-030620-w-9__1.0__2A__2021-01-09__1__2A__98.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-8__1.0__1H__2021-01-09__1__1H__181.0__16S,seq230714_FWU63,LP__DX__T-030620-w-8__1.0__1H__2021-01-09__1__1H__181.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-7__1.0__1G__2021-01-09__1__1G__169.0__16S,seq230714_FWU63,LP__DX__T-030620-w-7__1.0__1G__2021-01-09__1__1G__169.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-6__1.0__1F__2021-01-09__1__1F__157.0__16S,seq230714_FWU63,LP__DX__T-030620-w-6__1.0__1F__2021-01-09__1__1F__157.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-5__1.0__1E__2021-01-09__1__1E__145.0__16S,seq230714_FWU63,LP__DX__T-030620-w-5__1.0__1E__2021-01-09__1__1E__145.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-4__1.0__1D__2021-01-09__1__1D__133.0__16S,seq230714_FWU63,LP__DX__T-030620-w-4__1.0__1D__2021-01-09__1__1D__133.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-3__1.0__1C__2021-01-09__1__1C__121.0__16S,seq230714_FWU63,LP__DX__T-030620-w-3__1.0__1C__2021-01-09__1__1C__121.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-2__1.0__1B__2021-01-09__1__1B__109.0__16S,seq230714_FWU63,LP__DX__T-030620-w-2__1.0__1B__2021-01-09__1__1B__109.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-25__1.0__4A__2021-01-09__1__4A__100.0__16S,seq230714_FWU63,LP__DX__T-030620-w-25__1.0__4A__2021-01-09__1__4A__100.0__16S
RLA__seq230714_FWU63__LP__DX__Ultrapure-water__7E__1__7E__151.0__16S,seq230714_FWU63,LP__DX__Ultrapure-water__7E__1__7E__151.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-26__1.0__4B__2021-01-09__1__4B__112.0__16S,seq230714_FWU63,LP__DX__T-030620-w-26__1.0__4B__2021-01-09__1__4B__112.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-28__1.0__4D__2021-01-09__1__4D__136.0__16S,seq230714_FWU63,LP__DX__T-030620-w-28__1.0__4D__2021-01-09__1__4D__136.0__16S
RLA__seq230714_FWU63__LP__DX__alex-control__7C__1__7C__127.0__16S,seq230714_FWU63,LP__DX__alex-control__7C__1__7C__127.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-50__1.0__7B__2021-01-09__1__7B__115.0__16S,seq230714_FWU63,LP__DX__T-030620-w-50__1.0__7B__2021-01-09__1__7B__115.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-49__1.0__7A__2021-01-09__1__7A__103.0__16S,seq230714_FWU63,LP__DX__T-030620-w-49__1.0__7A__2021-01-09__1__7A__103.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-48__1.0__6H__2021-01-09__1__6H__186.0__16S,seq230714_FWU63,LP__DX__T-030620-w-48__1.0__6H__2021-01-09__1__6H__186.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-47__1.0__6G__2021-01-09__1__6G__174.0__16S,seq230714_FWU63,LP__DX__T-030620-w-47__1.0__6G__2021-01-09__1__6G__174.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-46__1.0__6F__2021-01-09__1__6F__162.0__16S,seq230714_FWU63,LP__DX__T-030620-w-46__1.0__6F__2021-01-09__1__6F__162.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-45__1.0__6E__2021-01-09__1__6E__150.0__16S,seq230714_FWU63,LP__DX__T-030620-w-45__1.0__6E__2021-01-09__1__6E__150.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-44__1.0__6D__2021-01-09__1__6D__138.0__16S,seq230714_FWU63,LP__DX__T-030620-w-44__1.0__6D__2021-01-09__1__6D__138.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-43__1.0__6C__2021-01-09__1__6C__126.0__16S,seq230714_FWU63,LP__DX__T-030620-w-43__1.0__6C__2021-01-09__1__6C__126.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-42__1.0__6B__2021-01-09__1__6B__114.0__16S,seq230714_FWU63,LP__DX__T-030620-w-42__1.0__6B__2021-01-09__1__6B__114.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-41__1.0__6A__2021-01-09__1__6A__102.0__16S,seq230714_FWU63,LP__DX__T-030620-w-41__1.0__6A__2021-01-09__1__6A__102.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-40__1.0__5H__2021-01-09__1__5H__185.0__16S,seq230714_FWU63,LP__DX__T-030620-w-40__1.0__5H__2021-01-09__1__5H__185.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-39__1.0__5G__2021-01-09__1__5G__173.0__16S,seq230714_FWU63,LP__DX__T-030620-w-39__1.0__5G__2021-01-09__1__5G__173.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-38__1.0__5F__2021-01-09__1__5F__161.0__16S,seq230714_FWU63,LP__DX__T-030620-w-38__1.0__5F__2021-01-09__1__5F__161.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-37__1.0__5E__2021-01-09__1__5E__149.0__16S,seq230714_FWU63,LP__DX__T-030620-w-37__1.0__5E__2021-01-09__1__5E__149.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-36__1.0__5D__2021-01-09__1__5D__137.0__16S,seq230714_FWU63,LP__DX__T-030620-w-36__1.0__5D__2021-01-09__1__5D__137.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-35__1.0__5C__2021-01-09__1__5C__125.0__16S,seq230714_FWU63,LP__DX__T-030620-w-35__1.0__5C__2021-01-09__1__5C__125.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-34__1.0__5B__2021-01-09__1__5B__113.0__16S,seq230714_FWU63,LP__DX__T-030620-w-34__1.0__5B__2021-01-09__1__5B__113.0__16S
