LY,SP,LY_SP,SP_plot,SP_sample_number,SP_id_on_field_2022,SP_cultivar,SP_spray,SP_fertilizer,SP_lane,SP_parcel,SP_location
LY_R_2022,SP_010,LY_R_2022__SP_010,10,10,A7,Heerup,FALSE,NORMAL,8,1,R
LY_R_2022,SP_011,LY_R_2022__SP_011,11,11,A16,Rembrandt,FALSE,NORMAL,8,5,R
LY_R_2022,SP_012,LY_R_2022__SP_012,12,12,A5,Kvium,FALSE,NORMAL,8,21,R
LY_R_2022,SP_013,LY_R_2022__SP_013,13,13,A7,Heerup,FALSE,NORMAL,9,12,R
LY_R_2022,SP_014,LY_R_2022__SP_014,14,14,A5,Kvium,FALSE,NORMAL,9,22,R
LY_R_2022,SP_015,LY_R_2022__SP_015,15,15,A16,Rembrandt,FALSE,NORMAL,9,26,R
LY_R_2022,SP_016,LY_R_2022__SP_016,16,16,B16,Rembrandt,TRUE,NORMAL,10,2,R
LY_R_2022,SP_017,LY_R_2022__SP_017,17,17,B7,Heerup,TRUE,NORMAL,10,16,R
LY_R_2022,SP_018,LY_R_2022__SP_018,18,18,B5,Kvium,TRUE,NORMAL,10,20,R
LY_R_2022,SP_019,LY_R_2022__SP_019,19,19,A16,Rembrandt,FALSE,NORMAL,13,12,R
LY_R_2022,SP_020,LY_R_2022__SP_020,20,20,A7,Heerup,FALSE,NORMAL,13,19,R
LY_R_2022,SP_021,LY_R_2022__SP_021,21,21,B7,Heerup,TRUE,NORMAL,14,15,R
LY_R_2022,SP_022,LY_R_2022__SP_022,22,22,B5,Kvium,TRUE,NORMAL,15,11,R
LY_R_2022,SP_023,LY_R_2022__SP_023,23,23,B16,Rembrandt,TRUE,NORMAL,15,19,R
LY_R_2022,SP_024,LY_R_2022__SP_024,24,24,A5,Kvium,FALSE,NORMAL,16,9,R
LY_S_2022,SP_001,LY_S_2022__SP_001,1,1,A5,Kvium,FALSE,,1,22,S
LY_S_2022,SP_002,LY_S_2022__SP_002,2,2,A7,Heerup,FALSE,,1,32,S
LY_S_2022,SP_003,LY_S_2022__SP_003,3,3,A16,Rembrandt,FALSE,,1,41,S
LY_S_2022,SP_004,LY_S_2022__SP_004,4,4,B16,Rembrandt,TRUE,,2,3,S
LY_S_2022,SP_005,LY_S_2022__SP_005,5,5,B5,Kvium,TRUE,,2,13,S
LY_S_2022,SP_006,LY_S_2022__SP_006,6,6,B7,Heerup,TRUE,,2,48,S
LY_S_2022,SP_007,LY_S_2022__SP_007,7,7,B7,Heerup,TRUE,,3,16,S
LY_S_2022,SP_008,LY_S_2022__SP_008,8,8,B5,Kvium,TRUE,,3,32,S
LY_S_2022,SP_009,LY_S_2022__SP_009,9,9,B16,Rembrandt,TRUE,,3,38,S
LY_S_2022,SP_010,LY_S_2022__SP_010,10,10,A16,Rembrandt,FALSE,,4,21,S
LY_S_2022,SP_011,LY_S_2022__SP_011,11,11,A7,Heerup,FALSE,,4,25,S
LY_S_2022,SP_012,LY_S_2022__SP_012,12,12,A5,Kvium,FALSE,,4,49,S
LY_S_2022,SP_013,LY_S_2022__SP_013,13,13,A5,Kvium,FALSE,,5,38,S
LY_S_2022,SP_014,LY_S_2022__SP_014,14,14,A7,Heerup,FALSE,,5,39,S
LY_S_2022,SP_015,LY_S_2022__SP_015,15,15,A16,Rembrandt,FALSE,,5,47,S
LY_S_2022,SP_016,LY_S_2022__SP_016,16,16,B5,Kvium,TRUE,,6,28,S
LY_S_2022,SP_017,LY_S_2022__SP_017,17,17,B16,Rembrandt,TRUE,,6,30,S
LY_S_2022,SP_018,LY_S_2022__SP_018,18,18,B7,Heerup,TRUE,,6,45,S
LY_S_2022,SP_019,LY_S_2022__SP_019,19,19,B16,Rembrandt,TRUE,,7,13,S
LY_S_2022,SP_020,LY_S_2022__SP_020,20,20,B5,Kvium,TRUE,,7,40,S
LY_S_2022,SP_021,LY_S_2022__SP_021,21,21,B7,Heerup,TRUE,,7,50,S
LY_S_2022,SP_022,LY_S_2022__SP_022,22,22,A7,Heerup,FALSE,,8,16,S
LY_S_2022,SP_023,LY_S_2022__SP_023,23,23,A16,Rembrandt,FALSE,,8,34,S
LY_S_2022,SP_024,LY_S_2022__SP_024,24,24,A5,Kvium,FALSE,,8,49,S
