sampling_plot_id,location_year_id,scheme_2020,plot,grid_point_2020,distance_2020,edge_2020,block_2022,plot_label,subplot,x,y,letter,spray_fungicide,fertiliser,fertilizer,cultivar,density,spray
SP__LY__R__2022__009,LY__R__2022,,9,,,,7.0,,,,,,y,n,,Kvium,,
SP__LY__R__2022__009,LY__R__2022,,9,,,,,,,,,,,,,Kvium,,no
SP__LY__R__2022__009,LY__R__2022,,9,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__R__2022__009,LY__R__2022,,9,,,,,,,,,B5,,,,Kvium,,n
SP__LY__R__2022__009,LY__R__2022,,9,,,,,,,,,,,,,Kvium,,n
SP__LY__R__2022__010,LY__R__2022,,10,,,,8.0,,,,,,n,n,,Heerup,unknown,
SP__LY__R__2022__010,LY__R__2022,,10,,,,8.0,,,,,,n,n,,Heerup,,
SP__LY__R__2022__010,LY__R__2022,,10,,,,,,,,,,,,,Heerup,,yes
SP__LY__R__2022__010,LY__R__2022,,10,,,,,,,,,A7,,,,Heerup,,n
SP__LY__R__2022__010,LY__R__2022,,10,,,,,,,,,A7,,,,Heerup,,y
SP__LY__R__2022__010,LY__R__2022,,10,,,,,,,,,,,,,Heerup,,y
SP__LY__R__2022__011,LY__R__2022,,11,,,,8.0,,,,,,n,n,,Rembrandt,unknown,
SP__LY__R__2022__011,LY__R__2022,,11,,,,8.0,,,,,,n,n,,Rembrandt,,
SP__LY__R__2022__011,LY__R__2022,,11,,,,,,,,,,,,,Rembrandt,,yes
SP__LY__R__2022__011,LY__R__2022,,11,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__R__2022__011,LY__R__2022,,11,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__R__2022__011,LY__R__2022,,11,,,,,,,,,,,,,Rembrandt,,y
SP__LY__R__2022__012,LY__R__2022,,12,,,,8.0,,,,,,n,n,,Kvium,unknown,
SP__LY__R__2022__012,LY__R__2022,,12,,,,8.0,,,,,,n,n,,Kvium,,
SP__LY__R__2022__012,LY__R__2022,,12,,,,,,,,,,,,,Kvium,,yes
SP__LY__R__2022__012,LY__R__2022,,12,,,,,,,,,A5,,,,Kvium,,n
SP__LY__R__2022__012,LY__R__2022,,12,,,,,,,,,A5,,,,Kvium,,y
SP__LY__R__2022__012,LY__R__2022,,12,,,,,,,,,,,,,Kvium,,y
SP__LY__R__2022__013,LY__R__2022,,13,,,,9.0,,,,,,n,n,,Heerup,unknown,
SP__LY__R__2022__013,LY__R__2022,,13,,,,9.0,,,,,,n,n,,Heerup,,
SP__LY__R__2022__013,LY__R__2022,,13,,,,,,,,,,,,,Heerup,,yes
SP__LY__R__2022__013,LY__R__2022,,13,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__R__2022__013,LY__R__2022,,13,,,,,,,,,A7,,,,Heerup,,y
SP__LY__R__2022__013,LY__R__2022,,13,,,,,,,,,,,,,Heerup,,y
SP__LY__R__2022__014,LY__R__2022,,14,,,,9.0,,,,,,n,n,,Kvium,unknown,
SP__LY__R__2022__014,LY__R__2022,,14,,,,9.0,,,,,,n,n,,Kvium,,
SP__LY__R__2022__014,LY__R__2022,,14,,,,,,,,,,,,,Kvium,,yes
SP__LY__R__2022__014,LY__R__2022,,14,,,,,,,,,A5,,,,Kvium,,n
SP__LY__R__2022__014,LY__R__2022,,14,,,,,,,,,A5,,,,Kvium,,y
SP__LY__R__2022__014,LY__R__2022,,14,,,,,,,,,,,,,Kvium,,y
SP__LY__R__2022__015,LY__R__2022,,15,,,,9.0,,,,,,n,n,,Rembrandt,unknown,
SP__LY__R__2022__015,LY__R__2022,,15,,,,9.0,,,,,,n,n,,Rembrandt,,
SP__LY__R__2022__015,LY__R__2022,,15,,,,,,,,,,,,,Rembrandt,,yes
SP__LY__R__2022__015,LY__R__2022,,15,,,,,,,,,A7,,,,Heerup,,n
SP__LY__R__2022__015,LY__R__2022,,15,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__R__2022__015,LY__R__2022,,15,,,,,,,,,,,,,Rembrandt,,y
SP__LY__R__2022__016,LY__R__2022,,16,,,,10.0,,,,,,y,n,,Rembrandt,unknown,
SP__LY__R__2022__016,LY__R__2022,,16,,,,10.0,,,,,,y,n,,Rembrandt,,
SP__LY__R__2022__016,LY__R__2022,,16,,,,,,,,,,,,,Rembrandt,,no
SP__LY__R__2022__016,LY__R__2022,,16,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__R__2022__016,LY__R__2022,,16,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__R__2022__016,LY__R__2022,,16,,,,,,,,,,,,,Rembrandt,,n
SP__LY__R__2022__017,LY__R__2022,,17,,,,10.0,,,,,,y,n,,Heerup,unknown,
SP__LY__R__2022__017,LY__R__2022,,17,,,,10.0,,,,,,y,n,,Heerup,,
SP__LY__R__2022__017,LY__R__2022,,17,,,,,,,,,,,,,Heerup,,no
SP__LY__R__2022__017,LY__R__2022,,17,,,,,,,,,B7,,,,Heerup,,y
SP__LY__R__2022__017,LY__R__2022,,17,,,,,,,,,B7,,,,Heerup,,n
SP__LY__R__2022__017,LY__R__2022,,17,,,,,,,,,,,,,Heerup,,n
SP__LY__R__2022__018,LY__R__2022,,18,,,,10.0,,,,,,y,n,,Kvium,unknown,
SP__LY__R__2022__018,LY__R__2022,,18,,,,10.0,,,,,,y,n,,Kvium,,
SP__LY__R__2022__018,LY__R__2022,,18,,,,,,,,,,,,,Kvium,,no
SP__LY__R__2022__018,LY__R__2022,,18,,,,,,,,,B5,,,,Kvium,,y
SP__LY__R__2022__018,LY__R__2022,,18,,,,,,,,,B5,,,,Kvium,,n
SP__LY__R__2022__018,LY__R__2022,,18,,,,,,,,,,,,,Kvium,,n
SP__LY__R__2022__019,LY__R__2022,,19,,,,13.0,,,,,,n,n,,Rembrandt,unknown,
SP__LY__R__2022__019,LY__R__2022,,19,,,,13.0,,,,,,n,n,,Rembrandt,,
SP__LY__R__2022__019,LY__R__2022,,19,,,,,,,,,,,,,Rembrandt,,yes
SP__LY__R__2022__019,LY__R__2022,,19,,,,,,,,,A7,,,,Heerup,,n
SP__LY__R__2022__019,LY__R__2022,,19,,,,,,,,,A16,,,,Rembrandt,,y
SP__LY__R__2022__019,LY__R__2022,,19,,,,,,,,,,,,,Rembrandt,,y
SP__LY__R__2022__020,LY__R__2022,,20,,,,13.0,,,,,,n,n,,Heerup,unknown,
SP__LY__R__2022__020,LY__R__2022,,20,,,,13.0,,,,,,n,n,,Heerup,,
SP__LY__R__2022__020,LY__R__2022,,20,,,,,,,,,,,,,Heerup,,yes
SP__LY__R__2022__020,LY__R__2022,,20,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__R__2022__020,LY__R__2022,,20,,,,,,,,,A7,,,,Heerup,,y
SP__LY__R__2022__020,LY__R__2022,,20,,,,,,,,,,,,,Heerup,,y
SP__LY__R__2022__021,LY__R__2022,,21,,,,14.0,,,,,,y,n,,Heerup,unknown,
SP__LY__R__2022__021,LY__R__2022,,21,,,,14.0,,,,,,y,n,,Heerup,,
SP__LY__R__2022__021,LY__R__2022,,21,,,,,,,,,,,,,Heerup,,no
SP__LY__R__2022__021,LY__R__2022,,21,,,,,,,,,B5,,,,Kvium,,y
SP__LY__R__2022__021,LY__R__2022,,21,,,,,,,,,B7,,,,Heerup,,n
SP__LY__R__2022__021,LY__R__2022,,21,,,,,,,,,,,,,Heerup,,n
SP__LY__R__2022__022,LY__R__2022,,22,,,,15.0,,,,,,y,n,,Kvium,unknown,
SP__LY__R__2022__022,LY__R__2022,,22,,,,15.0,,,,,,y,n,,Kvium,,
SP__LY__R__2022__022,LY__R__2022,,22,,,,,,,,,,,,,Kvium,,no
SP__LY__R__2022__022,LY__R__2022,,22,,,,,,,,,B7,,,,Heerup,,y
SP__LY__R__2022__022,LY__R__2022,,22,,,,,,,,,B5,,,,Kvium,,n
SP__LY__R__2022__022,LY__R__2022,,22,,,,,,,,,,,,,Kvium,,n
SP__LY__R__2022__023,LY__R__2022,,23,,,,15.0,,,,,,y,n,,Rembrandt,unknown,
SP__LY__R__2022__023,LY__R__2022,,23,,,,15.0,,,,,,y,n,,Rembrandt,,
SP__LY__R__2022__023,LY__R__2022,,23,,,,,,,,,,,,,Rembrandt,,no
SP__LY__R__2022__023,LY__R__2022,,23,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__R__2022__023,LY__R__2022,,23,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__R__2022__023,LY__R__2022,,23,,,,,,,,,,,,,Rembrandt,,n
SP__LY__R__2022__024,LY__R__2022,,24,,,,16.0,,,,,,n,n,,Kvium,unknown,
