run_ID,seq_sample_ID,forward_fq,reverse_fq
seq260520_BRLUV,A-230622-16S-c-51-5,BRLUV2-A-230622-16S-c-51-5_S354_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-51-5_S354_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-51-6,BRLUV2-A-230622-16S-c-51-6_S337_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-51-6_S337_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-51-7,BRLUV2-A-230622-16S-c-51-7_S357_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-51-7_S357_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-52,BRLUV2-A-230622-16S-c-52_S345_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-52_S345_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-53,BRLUV2-A-230622-16S-c-53_S351_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-53_S351_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-54,BRLUV2-A-230622-16S-c-54_S340_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-54_S340_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-55,BRLUV2-A-230622-16S-c-55_S356_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-55_S356_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-56,BRLUV2-A-230622-16S-c-56_S350_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-56_S350_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-57,BRLUV2-A-230622-16S-c-57_S344_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-57_S344_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-58-1,BRLUV2-A-230622-16S-c-58-1_S349_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-58-1_S349_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-58-2,BRLUV2-A-230622-16S-c-58-2_S341_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-58-2_S341_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-58-3,BRLUV2-A-230622-16S-c-58-3_S338_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-58-3_S338_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-58-4,BRLUV2-A-230622-16S-c-58-4_S342_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-58-4_S342_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-58-5,BRLUV2-A-230622-16S-c-58-5_S339_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-58-5_S339_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-58-6,BRLUV2-A-230622-16S-c-58-6_S336_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-58-6_S336_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-58-7,BRLUV2-A-230622-16S-c-58-7_S343_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-58-7_S343_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-59-1,BRLUV2-A-230622-16S-c-59-1_S355_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-59-1_S355_L001_R2_001.fastq.gz
